iter	Passed	Remaining
0	47	3248
1	47	1609
2	47	1065
3	47	791
4	50	652
5	70	755
6	71	641
7	71	554
8	71	486
9	72	432
10	72	387
11	72	350
12	72	319
13	73	292
14	73	268
15	73	248
16	73	229
17	73	213
18	74	199
19	74	186
20	74	174
21	74	163
22	97	198
23	97	187
24	97	176
25	98	166
26	98	156
27	98	147
28	98	139
29	98	131
30	99	124
31	99	118
32	99	111
33	99	105
34	100	100
35	100	94
36	100	89
37	100	84
38	101	80
39	102	77
40	103	72
41	103	68
42	104	65
43	104	61
44	105	58
45	105	55
46	106	52
47	107	49
48	108	46
49	121	48
50	121	45
51	122	42
52	122	39
53	122	36
54	123	33
55	123	30
56	123	28
57	123	25
58	124	23
59	124	20
60	124	18
61	124	16
62	124	13
63	125	11
64	125	9
65	125	7
66	125	5
67	125	3
68	126	1
69	126	0
