iter	Logloss
0	0.6843088903
1	0.6759190034
2	0.6686139139
3	0.6606661499
4	0.6520891625
5	0.6446533749
6	0.6373243963
7	0.6303773555
8	0.6234069565
9	0.6160281293
10	0.6108084467
11	0.6042439782
12	0.5974104075
13	0.5913159188
14	0.5846473841
15	0.5789568612
16	0.5738140184
17	0.569535555
18	0.5632058942
19	0.5577173029
20	0.5518896538
21	0.5466898882
22	0.5411859548
23	0.5360541485
24	0.5311858107
25	0.5272587472
26	0.5227655624
27	0.5188765587
28	0.5152677137
29	0.5112052873
30	0.5063715469
31	0.5018845828
32	0.497410358
33	0.4940159963
34	0.4902956101
35	0.4867942827
36	0.4829990304
37	0.4789414618
38	0.4757976472
39	0.4730595294
40	0.4692798663
41	0.4656456185
42	0.4627658475
43	0.4595985989
44	0.4570967124
45	0.4539719458
46	0.4513473271
47	0.4484724806
48	0.4463178344
49	0.4435042747
50	0.4410089547
51	0.4390157488
52	0.4367584374
53	0.4342780208
54	0.4318853998
55	0.4295418838
56	0.4272332518
57	0.4248804706
58	0.4228846199
59	0.4210324827
60	0.4192306177
61	0.4172164136
62	0.4157775816
63	0.4139150817
64	0.4118449697
65	0.4099174788
66	0.4078102023
67	0.4057762339
68	0.4040922895
69	0.4025259528
