iter	Passed	Remaining
0	49	3390
1	49	1683
2	49	1111
3	50	825
4	50	653
5	50	538
6	50	456
7	50	394
8	51	346
9	51	308
10	51	277
11	51	250
12	52	228
13	52	209
14	52	192
15	52	177
16	52	165
17	53	153
18	53	143
19	53	133
20	53	125
21	53	117
22	54	110
23	54	104
24	54	98
25	54	92
26	55	87
27	55	82
28	55	78
29	55	74
30	55	70
31	56	66
32	56	63
33	56	59
34	56	56
35	56	53
36	57	51
37	57	48
38	57	45
39	58	43
40	58	41
41	58	38
42	58	36
43	58	34
44	59	32
45	59	30
46	59	29
47	59	27
48	59	25
49	60	24
50	60	22
51	60	20
52	60	19
53	61	18
54	61	16
55	61	15
56	61	14
57	61	12
58	62	11
59	62	10
60	62	9
61	62	8
62	62	6
63	63	5
64	63	4
65	63	3
66	63	2
67	64	1
68	64	0
69	64	0
