iter	Logloss
0	0.6835046974
1	0.6749290691
2	0.6654805315
3	0.6561551524
4	0.6463214929
5	0.6394713438
6	0.631876324
7	0.6231403072
8	0.6166325242
9	0.6099841851
10	0.6038509688
11	0.5965523795
12	0.5905902589
13	0.584607094
14	0.5777382217
15	0.5727438575
16	0.5666464932
17	0.5625693191
18	0.5564423363
19	0.5509204715
20	0.5452140259
21	0.5403928225
22	0.5354075231
23	0.5315523224
24	0.5265252718
25	0.5219222755
26	0.516928104
27	0.513186348
28	0.5095787307
29	0.5053329387
30	0.5003424234
31	0.4964492874
32	0.4923505933
33	0.4881340199
34	0.4841331124
35	0.4805151876
36	0.4767777218
37	0.4724636414
38	0.4687240184
39	0.465385039
40	0.4614801264
41	0.4578618006
42	0.4547000475
43	0.4515771897
44	0.4487160443
45	0.4460989518
46	0.4431934069
47	0.4408319787
48	0.4383672725
49	0.4355438637
50	0.4329643683
51	0.4304568547
52	0.4284510047
53	0.4258012111
54	0.4234109828
55	0.4209834775
56	0.4187419738
57	0.4165166547
58	0.4146800649
59	0.4126616117
60	0.4109252862
61	0.4092004646
62	0.4070071863
63	0.4047225541
64	0.4029963216
65	0.401263075
66	0.3994812546
67	0.3980575968
68	0.3964557559
69	0.3941690555
