iter	Passed	Remaining
0	0	23
1	0	25
2	0	21
3	1	21
4	1	19
5	1	18
6	1	17
7	2	17
8	2	16
9	2	16
10	2	15
11	3	15
12	3	14
13	3	14
14	3	14
15	4	13
16	4	13
17	4	13
18	4	12
19	5	12
20	5	12
21	5	11
22	5	11
23	5	11
24	6	11
25	6	10
26	6	10
27	6	10
28	6	9
29	7	9
30	7	9
31	7	8
32	7	8
33	8	8
34	8	8
35	8	7
36	8	7
37	8	7
38	9	7
39	9	6
40	9	6
41	9	6
42	9	6
43	10	6
44	10	5
45	10	5
46	10	5
47	11	5
48	11	4
49	11	4
50	11	4
51	11	4
52	12	3
53	12	3
54	12	3
55	12	3
56	12	2
57	13	2
58	13	2
59	13	2
60	13	2
61	14	1
62	14	1
63	14	1
64	14	1
65	15	0
66	15	0
67	15	0
68	15	0
69	15	0
